target_step_seconds,cell_i0,cell_i1,alpha,stage,variable,target_value,scale,weight
14601600,36,37,0,2,PO4,1.614465612,2.525024217,0.08571428571
14688000,58,59,0,2,PO4,1.29157249,2.525024217,0.02941176471
15206400,1,2,0,2,PO4,1.000968679,2.525024217,0.08333333333
15206400,13,14,0,2,PO4,1.404585082,2.525024217,0.04166666667
15206400,36,37,0,2,PO4,4.520503713,2.525024217,0.08571428571
15206400,45,46,0,2,PO4,3.987730061,2.525024217,0.125
15206400,58,59,0,2,PO4,2.244107201,2.525024217,0.02941176471
15206400,79,80,0,2,PO4,1.388440426,2.525024217,0.04347826087
15811200,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
15897600,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
15897600,36,37,0,2,PO4,1.614465612,2.525024217,0.08571428571
16502400,13,14,0,2,PO4,1.194704553,2.525024217,0.04166666667
16502400,79,80,0,2,PO4,2.050371327,2.525024217,0.04347826087
17193600,58,59,0,2,PO4,1.29157249,2.525024217,0.02941176471
17280000,23,24,0,2,PO4,0.9686793671,2.525024217,0.0652173913
17280000,36,37,0,2,PO4,1.937358734,2.525024217,0.08571428571
17712000,1,2,0,2,PO4,2.001937359,2.525024217,0.08333333333
17712000,13,14,0,2,PO4,1.065547304,2.525024217,0.04166666667
17712000,36,37,0,2,PO4,2.906038101,2.525024217,0.08571428571
17712000,45,46,0,2,PO4,2.195673232,2.525024217,0.125
17712000,58,59,0,2,PO4,2.114949952,2.525024217,0.02941176471
17712000,79,80,0,2,PO4,2.114949952,2.525024217,0.04347826087
18403200,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
18489600,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
18489600,36,37,0,2,PO4,1.614465612,2.525024217,0.08571428571
19094400,13,14,0,2,PO4,0.6457862448,2.525024217,0.04166666667
19094400,79,80,0,2,PO4,1.759767517,2.525024217,0.04347826087
19612800,23,24,0,2,PO4,0.3228931224,2.525024217,0.0652173913
19612800,36,37,0,2,PO4,0.9686793671,2.525024217,0.08571428571
19612800,58,59,0,2,PO4,0.6457862448,2.525024217,0.02941176471
20304000,1,2,0,2,PO4,0.9041007427,2.525024217,0.08333333333
20304000,13,14,0,2,PO4,0.6134969325,2.525024217,0.04166666667
20304000,36,37,0,2,PO4,0.9041007427,2.525024217,0.08571428571
20304000,45,46,0,2,PO4,2.244107201,2.525024217,0.125
20304000,58,59,0,2,PO4,2.841459477,2.525024217,0.02941176471
20304000,79,80,0,2,PO4,0.5166289958,2.525024217,0.04347826087
20736000,23,24,0,2,PO4,1.29157249,2.525024217,0.0652173913
20736000,36,37,0,2,PO4,0.9686793671,2.525024217,0.08571428571
20822400,58,59,0,2,PO4,0.6457862448,2.525024217,0.02941176471
21513600,13,14,0,2,PO4,0.9686793671,2.525024217,0.04166666667
21513600,79,80,0,2,PO4,1.598320956,2.525024217,0.04347826087
22464000,58,59,0,2,PO4,0.6457862448,2.525024217,0.02941176471
22550400,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
22550400,36,37,0,2,PO4,0.6457862448,2.525024217,0.08571428571
22809600,1,2,0,2,PO4,0.6296415886,2.525024217,0.08333333333
22809600,13,14,0,2,PO4,0.7426541815,2.525024217,0.04166666667
22809600,36,37,0,2,PO4,1.113981272,2.525024217,0.08571428571
22809600,45,46,0,2,PO4,1.210849209,2.525024217,0.125
22809600,58,59,0,2,PO4,0.9041007427,2.525024217,0.02941176471
22809600,79,80,0,2,PO4,1.323861802,2.525024217,0.04347826087
23760000,36,37,0,2,PO4,0.9686793671,2.525024217,0.08571428571
23760000,58,59,0,2,PO4,0.6457862448,2.525024217,0.02941176471
23932800,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
24278400,1,2,0,2,PO4,1.533742331,2.525024217,0.08333333333
24278400,13,14,0,2,PO4,3.083629319,2.525024217,0.04166666667
24278400,36,37,0,2,PO4,4.181465935,2.525024217,0.08571428571
24278400,45,46,0,2,PO4,3.842428156,2.525024217,0.125
25056000,23,24,0,2,PO4,1.29157249,2.525024217,0.0652173913
25056000,36,37,0,2,PO4,0.9686793671,2.525024217,0.08571428571
25142400,58,59,0,2,PO4,0.6457862448,2.525024217,0.02941176471
25488000,13,14,0,2,PO4,1.5821763,2.525024217,0.04166666667
25488000,79,80,0,2,PO4,3.164352599,2.525024217,0.04347826087
26265600,58,59,0,2,PO4,0.6457862448,2.525024217,0.02941176471
26352000,23,24,0,2,PO4,0.9686793671,2.525024217,0.0652173913
26352000,36,37,0,2,PO4,2.583144979,2.525024217,0.08571428571
27129600,1,2,0,2,PO4,0.9041007427,2.525024217,0.08333333333
27129600,13,14,0,2,PO4,0.8395221182,2.525024217,0.04166666667
27129600,36,37,0,2,PO4,1.985792703,2.525024217,0.08571428571
27129600,45,46,0,2,PO4,2.066515983,2.525024217,0.125
27129600,58,59,0,2,PO4,2.486277042,2.525024217,0.02941176471
27129600,79,80,0,2,PO4,2.421698418,2.525024217,0.04347826087
27388800,23,24,0,2,PO4,1.29157249,2.525024217,0.0652173913
27388800,36,37,0,2,PO4,1.29157249,2.525024217,0.08571428571
27475200,58,59,0,2,PO4,1.29157249,2.525024217,0.02941176471
27993600,13,14,0,2,PO4,0.7749434937,2.525024217,0.04166666667
27993600,79,80,0,2,PO4,1.533742331,2.525024217,0.04347826087
28684800,58,59,0,2,PO4,0.6457862448,2.525024217,0.02941176471
28771200,23,24,0,2,PO4,1.614465612,2.525024217,0.0652173913
28771200,36,37,0,2,PO4,1.614465612,2.525024217,0.08571428571
29289600,1,2,0,2,PO4,0.3551824346,2.525024217,0.08333333333
29289600,13,14,0,2,PO4,0.6457862448,2.525024217,0.04166666667
29289600,36,37,0,2,PO4,3.680981595,2.525024217,0.08571428571
29289600,45,46,0,2,PO4,3.099773975,2.525024217,0.125
29289600,58,59,0,2,PO4,2.001937359,2.525024217,0.02941176471
29289600,79,80,0,2,PO4,1.969648046,2.525024217,0.04347826087
29894400,58,59,0,2,PO4,0.3228931224,2.525024217,0.02941176471
29980800,23,24,0,2,PO4,1.29157249,2.525024217,0.0652173913
29980800,36,37,0,2,PO4,1.29157249,2.525024217,0.08571428571
30499200,13,14,0,2,PO4,0.3874717469,2.525024217,0.04166666667
